Skill名称,场景类别,推荐得分,评级,具体作用,Stars,Forks,语言
coreyhaines31/social-content,社媒运营,100,夯,社交平台内容发布与运营,31677,5223,JavaScript
coreyhaines31/competitor-alternatives,增长广告,97,夯,网站搜索优化与增长分析,31677,5223,JavaScript
czlonkowski/n8n-code-python,编程开发,96,夯,编程开发辅助,5272,903,Shell
muratcankoylan/context-fundamentals,提示工程,96,夯,智能体工作流与任务协作,16279,1318,Python
muratcankoylan/multi-agent-patterns,提示工程,96,夯,智能体工作流与任务协作,16279,1318,Python
phuryn/privacy-policy,法律合同,96,夯,法律合规与政策文档处理,11878,1401,未知
Skill_Seekers,办公文档,95,夯,PDF 文档处理与转换,13911,1439,Python
mukul975/Anthropic-Cybersecurity-Skills,网络安全,94,夯,安全审计与漏洞防护,13704,1603,Python
NVIDIA/NeMo-Evaluator-Launcher/launching-evals,大模型,94,夯,大语言模型训练、推理或评估,921,109,Python
NVIDIA/Model-Optimizer/launching-evals,大模型,94,夯,大语言模型训练、推理或评估,921,109,Python
obra/testing-skills-with-subagents,提示工程,93,夯,智能体工作流与任务协作,216177,19252,Shell
deanpeters/finance-based-pricing-advisor,金融分析,93,夯,财务分析与商业决策,4715,603,Shell
obra/subagent-driven-development,提示工程,93,夯,智能体工作流与任务协作,216177,19252,Shell
obra/dispatching-parallel-agents,提示工程,93,夯,智能体工作流与任务协作,216177,19252,Shell
NeoLabHQ/prompt-engineering,提示工程,93,夯,智能体工作流与任务协作,1069,98,TypeScript
NVIDIA/TensorRT-LLM/perf-host-analysis,大模型,91,夯,大语言模型训练、推理或评估,921,109,Python
NVIDIA/Megatron-Bridge/recipe-recommender,大模型,91,夯,大模型训练工程,921,109,Python
NVIDIA/TensorRT-LLM/kernel-tileir-optimization,大模型,91,夯,大语言模型训练、推理或评估,921,109,Python
NVIDIA/video-search-and-summarization/vios,视频创作,91,夯,视频生成、理解或处理,921,109,Python
NVIDIA/Megatron-Bridge/perf-moe-hardware-configs,大模型,91,夯,大模型训练工程,921,109,Python
santifer/career-ops,教育学习,91,夯,面试准备与访谈整理,48431,10052,JavaScript
zarazhangrui/frontend-slides,办公文档,91,夯,演示文稿生成与美化,20092,1648,JavaScript
deanpeters/proto-persona,科研论文,90,夯,研究调研与资料分析,4715,603,Shell
nextlevelbuilder/ui-ux-pro-max-skill,界面设计,90,夯,界面设计与用户体验优化,86630,8949,Python
sanjay3290/imagen,图片生成,90,夯,图片生成与编辑,306,27,Python
google/cloud/agent-platform-skill-registry,视频创作,90,夯,智能体工作流与任务协作,11081,885,Python
coreyhaines31/email-sequence,邮件营销,90,夯,邮件营销与用户触达,31677,5223,JavaScript
coreyhaines31/cold-email,邮件营销,90,夯,邮件营销与用户触达,31677,5223,JavaScript
NVIDIA/deepstream/deepstream-dev,编程开发,90,夯,编程开发辅助,921,109,Python
NVIDIA/Model-Optimizer/evaluation,大模型,90,夯,大语言模型训练、推理或评估,921,109,Python
